fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1367.07 ± 169.58,248.61 ± 11.71,5.09 ± 0.56,-8252.91 ± 306.56,722.71 ± 24.16,-56.66 ± 1.07,1837.78 ± 267.69,4.45 ± 0.69,-1863.21 ± 3581.31
BA_fee,159.15 ± 25.47,82.98 ± 11.25,2.06 ± 0.17,-8240.37 ± 289.67,723.23 ± 24.64,-56.54 ± 0.87,5948.52 ± 437.82,26.69 ± 1.27,-4301.16 ± 2931.21
DA_fee,155.29 ± 28.02,84.19 ± 12.45,1.99 ± 0.18,-8251.23 ± 299.33,723.01 ± 24.37,-56.63 ± 0.87,5843.74 ± 399.90,26.16 ± 1.29,-3702.98 ± 4020.00
FX_fee,158.99 ± 28.19,83.12 ± 11.45,2.06 ± 0.19,-8242.07 ± 287.88,722.99 ± 24.44,-56.57 ± 0.84,5893.40 ± 291.03,26.44 ± 0.20,-3998.62 ± 3443.36
IMPROVED_AMM_fee,1367.07 ± 169.58,248.61 ± 11.71,5.09 ± 0.56,-8252.91 ± 306.56,722.71 ± 24.16,-56.66 ± 1.07,1837.78 ± 267.69,4.45 ± 0.69,-1863.21 ± 3581.31
IMPROVED_BA_fee,159.15 ± 25.47,82.98 ± 11.25,2.06 ± 0.17,-8240.37 ± 289.67,723.23 ± 24.64,-56.54 ± 0.87,5948.52 ± 437.82,26.69 ± 1.27,-4301.16 ± 2931.21
IMPROVED_DA_fee,155.29 ± 28.02,84.19 ± 12.45,1.99 ± 0.18,-8251.23 ± 299.33,723.01 ± 24.37,-56.63 ± 0.87,5843.74 ± 399.90,26.16 ± 1.29,-3702.98 ± 4020.00
IMPROVED_FX_fee,158.99 ± 28.19,83.12 ± 11.45,2.06 ± 0.19,-8242.07 ± 287.88,722.99 ± 24.44,-56.57 ± 0.84,5893.40 ± 291.03,26.44 ± 0.20,-3998.62 ± 3443.36
IMPROVED_OB_fee,115.97 ± 27.24,59.37 ± 11.19,2.09 ± 0.26,-8244.90 ± 291.57,723.22 ± 24.61,-56.57 ± 0.82,6219.09 ± 416.51,30.92 ± 0.48,-4229.57 ± 3343.88
OB_fee,115.97 ± 27.24,59.37 ± 11.19,2.09 ± 0.26,-8244.90 ± 291.57,723.22 ± 24.61,-56.57 ± 0.82,6219.09 ± 416.51,30.92 ± 0.48,-4229.57 ± 3343.88
