fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1188.65 ± 156.78,234.88 ± 13.21,4.76 ± 0.51,-8223.35 ± 307.97,722.84 ± 23.53,-56.55 ± 1.08,2034.67 ± 280.84,5.17 ± 0.80,-2296.32 ± 2849.14
BA_fee,139.88 ± 23.73,77.13 ± 10.05,1.97 ± 0.18,-8238.22 ± 293.46,723.15 ± 24.53,-56.63 ± 0.91,5782.53 ± 359.00,26.70 ± 1.15,-4523.22 ± 2386.21
DA_fee,138.18 ± 25.42,78.29 ± 11.19,1.92 ± 0.18,-8244.23 ± 306.58,723.25 ± 24.63,-56.66 ± 0.90,5725.15 ± 351.81,26.34 ± 1.12,-4041.03 ± 3168.13
FX_fee,141.58 ± 24.41,77.81 ± 10.78,1.97 ± 0.18,-8243.68 ± 307.18,723.42 ± 25.08,-56.65 ± 0.93,5768.18 ± 273.31,26.55 ± 0.19,-4284.62 ± 2814.45
IMPROVED_AMM_fee,1188.65 ± 156.78,234.88 ± 13.21,4.76 ± 0.51,-8223.35 ± 307.97,722.84 ± 23.53,-56.55 ± 1.08,2034.67 ± 280.84,5.17 ± 0.80,-2296.32 ± 2849.14
IMPROVED_BA_fee,139.88 ± 23.73,77.13 ± 10.05,1.97 ± 0.18,-8238.22 ± 293.46,723.15 ± 24.53,-56.63 ± 0.91,5782.53 ± 359.00,26.70 ± 1.15,-4523.22 ± 2386.21
IMPROVED_DA_fee,138.18 ± 25.42,78.29 ± 11.19,1.92 ± 0.18,-8244.23 ± 306.58,723.25 ± 24.63,-56.66 ± 0.90,5725.15 ± 351.81,26.34 ± 1.12,-4041.03 ± 3168.13
IMPROVED_FX_fee,141.58 ± 24.41,77.81 ± 10.78,1.97 ± 0.18,-8243.68 ± 307.18,723.42 ± 25.08,-56.65 ± 0.93,5768.18 ± 273.31,26.55 ± 0.19,-4284.62 ± 2814.45
IMPROVED_OB_fee,101.27 ± 23.49,55.32 ± 10.58,1.98 ± 0.23,-8239.39 ± 289.19,723.90 ± 24.70,-56.58 ± 0.83,6067.84 ± 383.10,30.83 ± 0.49,-4495.46 ± 2709.13
OB_fee,101.27 ± 23.49,55.32 ± 10.58,1.98 ± 0.23,-8239.39 ± 289.19,723.90 ± 24.70,-56.58 ± 0.83,6067.84 ± 383.10,30.83 ± 0.49,-4495.46 ± 2709.13
