fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,599.40 ± 89.29,176.24 ± 11.11,3.42 ± 0.43,-8222.20 ± 316.46,722.46 ± 24.55,-56.47 ± 1.26,2835.98 ± 238.66,8.87 ± 0.85,-3120.94 ± 2076.19
BA_fee,73.55 ± 16.38,51.63 ± 8.82,1.58 ± 0.18,-8238.16 ± 289.45,723.61 ± 24.44,-56.49 ± 0.96,5195.35 ± 291.25,27.04 ± 0.99,-4538.56 ± 1672.03
DA_fee,69.84 ± 15.33,49.96 ± 9.03,1.56 ± 0.19,-8238.64 ± 301.69,723.69 ± 24.91,-56.49 ± 0.96,5177.94 ± 283.03,27.17 ± 0.99,-4252.26 ± 2211.27
FX_fee,71.21 ± 16.22,50.28 ± 8.98,1.58 ± 0.21,-8228.62 ± 297.29,723.20 ± 24.93,-56.46 ± 1.00,5183.92 ± 231.67,27.16 ± 0.19,-4370.99 ± 1941.05
IMPROVED_AMM_fee,6.93 ± 4.50,12.28 ± 3.65,0.17 ± 0.11,-8253.84 ± 355.53,722.69 ± 23.86,-56.67 ± 1.57,4375.51 ± 212.71,23.44 ± 1.38,-4698.95 ± 1906.66
IMPROVED_BA_fee,69.76 ± 16.52,49.54 ± 9.39,1.52 ± 0.20,-8238.09 ± 280.05,723.21 ± 24.20,-56.53 ± 0.99,5192.00 ± 289.07,27.14 ± 1.06,-4542.95 ± 1694.01
IMPROVED_DA_fee,88.39 ± 115.52,48.57 ± 9.57,2.08 ± 2.95,-8241.73 ± 303.21,723.44 ± 24.97,-56.53 ± 0.99,5166.09 ± 279.74,27.26 ± 1.01,-4264.08 ± 2174.10
IMPROVED_FX_fee,71.21 ± 16.22,50.28 ± 8.98,1.58 ± 0.21,-8228.62 ± 297.29,723.20 ± 24.93,-56.46 ± 1.00,5183.92 ± 231.67,27.16 ± 0.19,-4370.99 ± 1941.05
IMPROVED_OB_fee,49.79 ± 12.63,35.70 ± 9.12,1.57 ± 0.22,-8248.83 ± 296.05,723.15 ± 24.89,-56.60 ± 0.90,5374.25 ± 308.99,30.23 ± 0.47,-4522.41 ± 1804.17
OB_fee,49.79 ± 12.63,35.70 ± 9.12,1.57 ± 0.22,-8248.83 ± 296.05,723.15 ± 24.89,-56.60 ± 0.90,5374.25 ± 308.99,30.23 ± 0.47,-4522.41 ± 1804.17
