fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,46.98 ± 11.21,35.18 ± 6.46,1.51 ± 0.23,-8165.94 ± 301.36,723.02 ± 24.83,-56.91 ± 0.95,4872.09 ± 306.83,27.89 ± 1.07,-4368.76 ± 1220.32
BA_fee,47.67 ± 12.91,39.34 ± 7.97,1.37 ± 0.21,-8161.45 ± 293.07,723.54 ± 25.13,-56.85 ± 0.99,4838.56 ± 266.73,27.17 ± 0.89,-4369.95 ± 1243.98
DA_fee,42.68 ± 11.32,37.06 ± 7.93,1.32 ± 0.19,-8163.28 ± 299.54,723.06 ± 24.54,-56.90 ± 1.04,4837.82 ± 253.14,27.52 ± 0.91,-4151.89 ± 1649.74
FX_fee,44.62 ± 13.17,37.58 ± 7.71,1.34 ± 0.20,-8162.82 ± 301.41,723.11 ± 25.05,-56.89 ± 1.02,4843.16 ± 211.24,27.46 ± 0.19,-4258.55 ± 1447.78
IMPROVED_AMM_fee,46.98 ± 11.21,35.18 ± 6.46,1.51 ± 0.23,-8165.94 ± 301.36,723.02 ± 24.83,-56.91 ± 0.95,4872.09 ± 306.83,27.89 ± 1.07,-4368.76 ± 1220.32
IMPROVED_BA_fee,47.67 ± 12.91,39.34 ± 7.97,1.37 ± 0.21,-8161.45 ± 293.07,723.54 ± 25.13,-56.85 ± 0.99,4838.56 ± 266.73,27.17 ± 0.89,-4369.95 ± 1243.98
IMPROVED_DA_fee,42.68 ± 11.32,37.06 ± 7.93,1.32 ± 0.19,-8163.28 ± 299.54,723.06 ± 24.54,-56.90 ± 1.04,4837.82 ± 253.14,27.52 ± 0.91,-4151.89 ± 1649.74
IMPROVED_FX_fee,44.62 ± 13.17,37.58 ± 7.71,1.34 ± 0.20,-8162.82 ± 301.41,723.11 ± 25.05,-56.89 ± 1.02,4843.16 ± 211.24,27.46 ± 0.19,-4258.55 ± 1447.78
IMPROVED_OB_fee,32.67 ± 11.81,26.65 ± 7.85,1.38 ± 0.25,-8169.79 ± 305.21,723.26 ± 24.29,-56.92 ± 0.89,4975.71 ± 283.55,29.80 ± 0.47,-4372.77 ± 1317.47
OB_fee,32.67 ± 11.81,26.65 ± 7.85,1.38 ± 0.25,-8169.79 ± 305.21,723.26 ± 24.29,-56.92 ± 0.89,4975.71 ± 283.55,29.80 ± 0.47,-4372.77 ± 1317.47
