fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,731.63 ± 105.85,192.43 ± 11.76,3.78 ± 0.43,-8168.19 ± 305.69,722.08 ± 24.48,-56.67 ± 1.21,2591.64 ± 253.45,7.70 ± 0.89,-2321.31 ± 2673.69
BA_fee,88.82 ± 16.26,58.06 ± 8.84,1.70 ± 0.20,-8197.58 ± 299.09,723.16 ± 24.82,-56.79 ± 0.92,5321.96 ± 348.11,27.06 ± 1.15,-4042.06 ± 2142.57
DA_fee,84.77 ± 17.94,57.48 ± 9.63,1.64 ± 0.17,-8203.48 ± 294.34,722.95 ± 24.67,-56.85 ± 0.88,5252.97 ± 330.47,26.83 ± 1.27,-3545.09 ± 2959.45
FX_fee,86.79 ± 15.41,57.52 ± 8.91,1.68 ± 0.18,-8196.24 ± 288.32,723.21 ± 24.72,-56.79 ± 0.86,5289.18 ± 238.26,26.98 ± 0.17,-3782.18 ± 2537.18
IMPROVED_AMM_fee,9.64 ± 5.74,14.64 ± 3.93,0.21 ± 0.12,-8209.91 ± 316.88,722.07 ± 23.81,-56.98 ± 1.57,4390.25 ± 230.36,22.97 ± 1.59,-4102.00 ± 2506.47
IMPROVED_BA_fee,82.88 ± 15.06,55.06 ± 8.94,1.62 ± 0.20,-8201.97 ± 308.09,722.98 ± 24.86,-56.84 ± 1.04,5318.65 ± 346.64,27.21 ± 1.21,-4046.31 ± 2169.68
IMPROVED_DA_fee,123.81 ± 179.58,53.18 ± 11.55,2.72 ± 4.49,-8216.56 ± 313.58,722.91 ± 24.69,-56.94 ± 1.12,5233.88 ± 342.81,27.08 ± 1.00,-3764.03 ± 2545.42
IMPROVED_FX_fee,86.79 ± 15.41,57.52 ± 8.91,1.68 ± 0.18,-8196.24 ± 288.32,723.21 ± 24.72,-56.79 ± 0.86,5289.18 ± 238.26,26.98 ± 0.17,-3782.18 ± 2537.18
IMPROVED_OB_fee,61.34 ± 15.58,41.02 ± 8.65,1.66 ± 0.20,-8194.39 ± 288.91,723.42 ± 24.97,-56.75 ± 0.81,5497.93 ± 320.72,30.32 ± 0.46,-3956.30 ± 2422.43
OB_fee,61.34 ± 15.58,41.02 ± 8.65,1.66 ± 0.20,-8194.39 ± 288.91,723.42 ± 24.97,-56.75 ± 0.81,5497.93 ± 320.72,30.32 ± 0.46,-3956.30 ± 2422.43
