fee_algo_name,iu_markout,iu_trade_count,iu_yield,uu_markout,uu_trade_count,uu_yield,lp_markout,lp_yield,impermanent_loss
AMM_fee,1252.12 ± 149.85,238.81 ± 12.85,4.99 ± 0.49,-8068.22 ± 290.05,722.99 ± 24.20,-57.35 ± 1.00,1821.44 ± 238.34,4.67 ± 0.68,-1438.39 ± 3591.81
BA_fee,151.85 ± 24.81,80.37 ± 10.51,2.07 ± 0.19,-8082.83 ± 292.19,723.29 ± 24.30,-57.43 ± 1.01,5709.56 ± 382.32,26.69 ± 1.24,-3728.29 ± 3066.67
DA_fee,147.84 ± 22.30,81.75 ± 10.40,2.00 ± 0.15,-8093.85 ± 298.19,723.38 ± 24.62,-57.50 ± 1.03,5627.65 ± 387.71,26.19 ± 1.34,-3181.39 ± 3905.27
FX_fee,148.85 ± 25.40,81.04 ± 10.49,2.02 ± 0.17,-8072.62 ± 290.51,722.39 ± 24.34,-57.42 ± 1.00,5659.03 ± 264.46,26.43 ± 0.19,-3423.80 ± 3483.09
IMPROVED_AMM_fee,20.87 ± 9.84,22.78 ± 4.76,0.32 ± 0.15,-8094.29 ± 363.84,722.54 ± 23.91,-57.56 ± 1.81,4527.00 ± 256.58,21.96 ± 1.50,-3966.33 ± 3441.06
IMPROVED_BA_fee,139.06 ± 27.29,75.95 ± 11.34,1.94 ± 0.23,-8087.76 ± 292.54,723.43 ± 24.28,-57.46 ± 1.04,5702.30 ± 375.04,26.89 ± 1.35,-3751.02 ± 3080.44
IMPROVED_DA_fee,217.15 ± 265.59,74.96 ± 15.50,3.39 ± 4.65,-8100.29 ± 306.00,723.08 ± 24.77,-57.57 ± 1.10,5591.71 ± 410.57,26.50 ± 1.06,-3485.54 ± 3420.08
IMPROVED_FX_fee,148.85 ± 25.40,81.04 ± 10.49,2.02 ± 0.17,-8072.62 ± 290.51,722.39 ± 24.34,-57.42 ± 1.00,5659.03 ± 264.46,26.43 ± 0.19,-3423.80 ± 3483.09
IMPROVED_OB_fee,106.70 ± 22.56,58.71 ± 10.38,2.00 ± 0.21,-8082.94 ± 290.32,723.55 ± 25.01,-57.41 ± 0.90,6009.22 ± 368.12,30.95 ± 0.44,-3671.26 ± 3367.40
OB_fee,106.70 ± 22.56,58.71 ± 10.38,2.00 ± 0.21,-8082.94 ± 290.32,723.55 ± 25.01,-57.41 ± 0.90,6009.22 ± 368.12,30.95 ± 0.44,-3671.26 ± 3367.40
